                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3318,                 3.2467,                  1.491,                0.00761,                0.50291,                0.14674,                0.09127,                 1.7389,                 3.4722,                  1.723,              0.0001875,              0.0001875,              0.0001875
                      2,                 1.3087,                 2.6853,                 1.5203,                0.00981,                0.49523,                0.08194,                0.04282,                  1.861,                 3.4304,                 1.8693,             0.00038288,             0.00038288,             0.00038288
                      3,                 1.3547,                 2.4101,                 1.5886,                0.23446,                0.08376,                0.09359,                0.04814,                 1.9708,                 3.1728,                 1.9724,             0.00057348,             0.00057348,             0.00057348
                      4,                  1.374,                 2.2444,                 1.5512,                0.23127,                0.16939,                0.14351,                0.06904,                  2.052,                 3.1493,                 2.1536,             0.00075932,             0.00075932,             0.00075932
                      5,                 1.3567,                  2.156,                 1.5383,                 0.4232,                0.14027,                0.18889,                0.09868,                 1.9949,                 2.9798,                 2.0526,             0.00094039,             0.00094039,             0.00094039
                      6,                 1.4112,                  2.165,                 1.5609,                0.21899,                0.34748,                0.17891,                0.08689,                 1.9343,                 3.0067,                 2.1061,              0.0011167,              0.0011167,              0.0011167
                      7,                 1.4025,                 2.1389,                 1.5781,                0.19036,                0.29244,                0.18734,                0.09883,                 1.9891,                 2.6069,                 2.2444,              0.0011605,              0.0011605,              0.0011605
                      8,                 1.3344,                 2.0155,                 1.5165,                0.28276,                0.28022,                0.16804,                0.08579,                 1.8597,                 2.6612,                 2.0356,              0.0011456,              0.0011456,              0.0011456
                      9,                 1.4343,                 2.0409,                 1.5429,                0.15059,                0.27292,                0.17087,                0.08939,                 1.9196,                 2.9981,                 2.0515,              0.0011307,              0.0011307,              0.0011307
                     10,                   1.36,                 2.0096,                 1.5305,                0.22879,                0.32404,                0.21037,                0.10401,                 2.1443,                 2.9895,                 2.2651,              0.0011158,              0.0011158,              0.0011158
                     11,                   1.39,                 2.0015,                 1.5096,                0.24122,                 0.2589,                0.19282,                0.09279,                 1.8009,                 2.5681,                 2.0004,              0.0011009,              0.0011009,              0.0011009
                     12,                 1.3828,                 1.9534,                  1.517,                0.22967,                0.36809,                0.21475,                0.10313,                 1.7958,                 2.8622,                 2.0065,               0.001086,               0.001086,               0.001086
